Feature,Info. Gain,Gain ratio,Gini
N:QL,0.164,0.085,0.068
N:QT,0.147,0.075,0.063
CD:S,0.155,0.091,0.056
P:QL,0.134,0.069,0.045
Caffeine,0.082,0.055,0.027
Breakfast,0.085,0.047,0.024
Lunch-dinner,0.045,0.029,0.023
Work,0.072,0.038,0.022
Hobbies,0.057,0.029,0.021
Rhodiola,0.044,0.063,0.021
P:QT,0.048,0.024,0.021
Breakfast-lunch,0.048,0.031,0.019
Wasted,0.049,0.024,0.018
Time awake,0.046,0.023,0.017
After dinner,0.036,0.02,0.015
